time,mag,place
20120202,7.1,Vanuatu
20120115,6.6,South Shetland Islands
20120110,7.2,off the west coast of northern Sumatra
20120101,6.8,"Izu Islands, Japan region"
20111227,6.6,"southwestern Siberia, Russia"
20111214,7.1,"eastern New Guinea region, Papua New Guinea"
20111211,6.5,"Guerrero, Mexico"
20111122,6.6,"Beni, Bolivia"
20111108,6.9,northeast of Taiwan
20111028,6.9,near the coast of central Peru
20111023,7.1,eastern Turkey
20111021,7.4,Kermadec Islands region
20111014,6.5,"eastern New Guinea region, Papua New Guinea"
20110918,6.9,"Sikkim, India"
20110916,6.7,"near the east coast of Honshu, Japan"
20110915,7.3,Fiji region
20110905,6.7,"northern Sumatra, Indonesia"
20110903,7.0,Vanuatu
20110902,6.7,"Santiago Del Estero, Argentina"
20110902,6.9,"Fox Islands, Aleutian Islands, Alaska"
20110830,6.9,Banda Sea
20110824,7.0,northern Peru
20110820,7.1,Vanuatu
20110820,6.5,Vanuatu
20110820,7.2,Vanuatu
20110731,6.6,"near the north coast of New Guinea, Papua New Guinea"
20110729,6.7,south of the Fiji Islands
20110710,7.0,"off the east coast of Honshu, Japan"
20110706,7.6,Kermadec Islands region
20110624,7.3,"Fox Islands, Aleutian Islands, Alaska"
20110622,6.7,"near the east coast of Honshu, Japan"
20110510,6.8,"Loyalty Islands, New Caledonia"
20110423,6.8,Solomon Islands
20110418,6.6,south of the Kermadec Islands
20110411,6.6,"eastern Honshu, Japan"
20110407,7.1,"near the east coast of Honshu, Japan"
20110407,6.6,"Veracruz, Mexico"
20110403,6.7,"south of Java, Indonesia"
20110324,6.9,Myanmar
20110312,6.5,"off the east coast of Honshu, Japan"
20110311,6.6,"near the east coast of Honshu, Japan"
20110311,6.5,"near the east coast of Honshu, Japan"
20110311,7.7,"off the east coast of Honshu, Japan"
20110311,6.5,"off the east coast of Honshu, Japan"
20110311,6.6,"off the east coast of Honshu, Japan"
20110311,7.9,"near the east coast of Honshu, Japan"
20110311,6.7,"off the east coast of Honshu, Japan"
20110311,9.1,"near the east coast of Honshu, Japan"
20110310,6.5,Bali Sea
20110309,6.5,"near the east coast of Honshu, Japan"
20110309,7.3,"near the east coast of Honshu, Japan"
20110306,6.5,South Sandwich Islands region
20110221,6.5,south of the Fiji Islands
20110214,6.7,"offshore Maule, Chile"
20110211,6.9,"offshore Bio-Bio, Chile"
20110210,6.6,Celebes Sea
20110210,6.5,Celebes Sea
20110118,7.2,southwestern Pakistan
20110113,7.0,"Loyalty Islands, New Caledonia"
20110109,6.5,Vanuatu
20110102,7.2,"Araucania, Chile"
20110101,7.0,"Santiago Del Estero, Argentina"
20101225,7.3,Vanuatu region
20101221,7.4,"Bonin Islands, Japan region"
20101220,6.7,southeastern Iran
20101202,6.6,"New Britain region, Papua New Guinea"
20101130,6.8,"Bonin Islands, Japan region"
20101110,6.5,southeast Indian Ridge
20101025,7.8,"Kepulauan Mentawai region, Indonesia"
20101021,6.7,Gulf of California
20100929,7.0,"near the south coast of Papua, Indonesia"
20100903,7.0,South Island of New Zealand
20100903,6.5,"Andreanof Islands, Aleutian Islands, Alaska"
20100814,6.6,Mariana Islands region
20100813,6.9,Mariana Islands region
20100812,7.1,Ecuador
20100810,7.3,Vanuatu
20100804,7.0,"New Britain region, Papua New Guinea"
20100804,6.5,"eastern New Guinea region, Papua New Guinea"
20100729,6.6,"Moro Gulf, Mindanao, Philippines"
20100724,6.6,"Moro Gulf, Mindanao, Philippines"
20100723,7.5,"Moro Gulf, Mindanao, Philippines"
20100723,7.6,"Moro Gulf, Mindanao, Philippines"
20100723,7.3,"Moro Gulf, Mindanao, Philippines"
20100718,7.3,"New Britain region, Papua New Guinea"
20100718,6.9,"New Britain region, Papua New Guinea"
20100718,6.7,"Fox Islands, Aleutian Islands, Alaska"
20100714,6.6,"Bio-Bio, Chile"
20100626,6.7,Solomon Islands
20100616,6.6,"near the north coast of Papua, Indonesia"
20100616,7.0,"near the north coast of Papua, Indonesia"
20100612,7.5,"Nicobar Islands, India region"
20100531,6.5,"Andaman Islands, India region"
20100527,7.2,Vanuatu
20100526,6.5,"southeast of the Ryukyu Islands, Japan"
20100524,6.5,"Acre, Brazil"
20100509,7.2,"northern Sumatra, Indonesia"
20100505,6.5,"southern Sumatra, Indonesia"
20100430,6.5,Bering Sea
20100426,6.5,southeast of Taiwan
20100413,6.9,"southern Qinghai, China"
20100411,6.9,Solomon Islands
20100406,7.8,"northern Sumatra, Indonesia"
20100404,7.2,"12km SW of Delta, B.C., MX"
20100330,6.6,"Andaman Islands, India region"
20100320,6.6,"New Ireland region, Papua New Guinea"
20100316,6.7,"offshore Bio-Bio, Chile"
20100314,6.5,"near the east coast of Honshu, Japan"
20100311,7.0,"Libertador General Bernardo O'Higgins, Chile"
20100311,6.9,"Libertador General Bernardo O'Higgins, Chile"
20100305,6.8,"Kepulauan Mentawai region, Indonesia"
20100305,6.6,"offshore Bio-Bio, Chile"
20100304,6.5,Vanuatu
20100227,7.4,"off the coast of Bio-Bio, Chile"
20100227,8.8,"offshore Bio-Bio, Chile"
20100226,7.0,"Ryukyu Islands, Japan"
20100218,6.9,China-Russia-North Korea border region
20100112,7.0,Haiti region
20100110,6.5,offshore Northern California
20100105,6.8,Solomon Islands
20100105,6.8,east of the South Sandwich Islands
20100103,7.1,Solomon Islands
20100103,6.6,Solomon Islands
20091124,6.8,Tonga
20091117,6.6,"Haida Gwaii, Canada"
20091113,6.5,"near the coast of Tarapaca, Chile"
20091109,7.3,Fiji
20091108,6.6,"Sumbawa region, Indonesia"
20091030,6.8,"Ryukyu Islands, Japan"
20091024,6.9,Banda Sea
20091013,6.5,"Fox Islands, Aleutian Islands, Alaska"
20091008,6.8,Vanuatu
20091007,7.4,Vanuatu
20091007,6.8,Santa Cruz Islands
20091007,7.8,Santa Cruz Islands
20091007,7.7,Vanuatu
20091007,6.8,Celebes Sea
20091004,6.6,"Moro Gulf, Mindanao, Philippines"
20091001,6.6,"southern Sumatra, Indonesia"
20090930,7.6,"southern Sumatra, Indonesia"
20090929,8.1,Samoa Islands region
20090902,7.0,"Java, Indonesia"
20090830,6.6,Samoa Islands region
20090828,6.9,Banda Sea
20090817,6.7,"southwestern Ryukyu Islands, Japan"
20090816,6.7,"Kepulauan Mentawai region, Indonesia"
20090812,6.6,"Izu Islands, Japan region"
20090810,7.5,"Andaman Islands, India region"
20090810,6.6,Santa Cruz Islands
20090809,7.1,"near the south coast of Honshu, Japan"
20090803,6.9,"Sonora, Mexico"
20090715,7.8,off the west coast of the South Island of New Zealand
20090623,6.7,"New Ireland region, Papua New Guinea"
20090528,7.3,offshore Honduras
20090516,6.5,Kermadec Islands region
